Feature,Normalized.Dispersion
ENSG00000175087,5.031365799784394
ENSG00000236782,NaN
ENSG00000142684,-1.545853168830945
ENSG00000142675,-1.1421589665088765
ENSG00000130695,6.1617664003478065
ENSG00000142669,4.961095809898262
ENSG00000158062,5.780569979278768
ENSG00000169442,-0.5096900982018544
ENSG00000176092,0.53191709176476
ENSG00000176083,8.727839969852697
ENSG00000131914,NaN
ENSG00000117682,-0.3754198582457979
ENSG00000225891,-0.4429951444361523
ENSG00000198830,-0.8722648165160886
ENSG00000117676,-0.04987827010424261
ENSG00000260063,1.0372636593054787
ENSG00000117713,0.19660327758979673
ENSG00000060642,-1.0409820798634133
ENSG00000204160,-1.0823114156961857
ENSG00000175793,-2.295194177939191
ENSG00000142751,-0.30692821050055996
ENSG00000198746,-1.4133228052042686
ENSG00000090273,0.03673241328584774
ENSG00000175707,0.5397064085429087
ENSG00000253368,-2.8495042433124054
ENSG00000158246,NaN
ENSG00000090020,4.749609498021991
ENSG00000142784,-0.4668561342540303
ENSG00000186501,1.7085263013440484
ENSG00000142765,-1.2092827335135812
ENSG00000142733,-1.0677017245950662
ENSG00000181773,NaN
ENSG00000158195,-0.5219141581366957
ENSG00000237429,-0.13840121537716923
ENSG00000126705,0.5039779807161824
ENSG00000000938,4.956829631812761
ENSG00000233975,1.313152200427936
ENSG00000126709,1.5716696339420617
ENSG00000225886,NaN
ENSG00000287244,1.0319745517948093
ENSG00000009780,-0.7464081538030709
ENSG00000117758,-1.1396327996683804
ENSG00000269971,0.7055147630221993
ENSG00000270031,-0.6751385647122659
ENSG00000117751,-0.41326249350789956
ENSG00000130775,3.3021345744654456
ENSG00000117748,-1.2856983551625052
ENSG00000130768,1.3564936845336641
ENSG00000158156,-0.2639377702943199
ENSG00000158161,0.9858716160970153
ENSG00000169403,5.373576968575813
ENSG00000126698,-0.9891964297087595
ENSG00000130770,-0.8249483390873996
ENSG00000270605,-1.228693958172779
ENSG00000130766,0.2242687825865854
ENSG00000130772,-1.1670786377199274
ENSG00000204138,0.3002327329693284
ENSG00000180198,-1.6146282466955955
ENSG00000242125,-0.9833919256759416
ENSG00000180098,-0.18278482658012615
ENSG00000197989,-0.2984357049359573
ENSG00000120656,-0.8439777665485441
ENSG00000229388,-0.03847436744737423
ENSG00000270103,4.58817355323631
ENSG00000162419,1.8267874881065147
ENSG00000198492,-0.335874580050879
ENSG00000116329,NaN
ENSG00000233427,NaN
ENSG00000159023,0.46201971989690405
ENSG00000253304,-0.4714587800149417
ENSG00000116350,0.26314386988753435
ENSG00000116353,-1.107975048355482
ENSG00000060656,NaN
ENSG00000162510,-0.8261182444889922
ENSG00000186056,-0.6284166887813872
ENSG00000287510,NaN
ENSG00000162511,-0.5451140175669273
ENSG00000162512,-3.6226119828238663
ENSG00000134644,-0.6173325556017079
ENSG00000060688,-0.8703358234603191
ENSG00000121766,12.391916422620696
ENSG00000121769,NaN
ENSG00000168528,-0.23020499959277932
ENSG00000284543,5.2214744986526735
ENSG00000162517,-0.4119243764824915
ENSG00000235790,-0.004216304640043511
ENSG00000264078,-0.614706495912644
ENSG00000121753,0.5206279408217845
ENSG00000134668,20.296232514286462
ENSG00000203620,NaN
ENSG00000269967,0.1442582865951543
ENSG00000184007,0.8491842271917501
ENSG00000228634,-1.213742676043017
ENSG00000121774,-0.7564801328597411
ENSG00000203325,-0.04216042585164603
ENSG00000121775,7.8707096792728235
ENSG00000025800,-0.29994501429054254
ENSG00000250135,-0.8591040937109726
ENSG00000084652,-1.4195792617791478
ENSG00000160050,2.986866133122991
ENSG00000224066,-0.7092146870377601
ENSG00000160051,-0.16562752836368116
ENSG00000222046,1.540723028023247
ENSG00000160055,4.594722891974395
ENSG00000084623,-1.649296931058572
ENSG00000183615,1.7503473055209702
ENSG00000182866,0.4783726288457879
ENSG00000116478,-1.2102816140783959
ENSG00000175130,3.1137508790272213
ENSG00000162526,-0.8377869104934306
ENSG00000225828,-0.3704008536287392
ENSG00000160058,-0.3597209608241973
ENSG00000273274,-0.9082239239095765
ENSG00000160062,2.6420247965992476
ENSG00000176261,0.10289916819665884
ENSG00000162521,-1.1278463058684305
ENSG00000162520,0.5143600638209092
ENSG00000224409,NaN
ENSG00000162522,-1.66960516891744
ENSG00000134684,0.12448628684846784
ENSG00000116497,1.5813124602237048
ENSG00000160097,NaN
ENSG00000287691,NaN
ENSG00000116514,10.926871090907904
ENSG00000004455,-0.466260113179763
ENSG00000142920,-0.7770562831122951
ENSG00000116525,-1.4203710777406566
ENSG00000284721,-0.08513257898002599
ENSG00000160094,-0.5317833258940307
ENSG00000270115,NaN
ENSG00000225313,-0.26631349027861484
ENSG00000134686,0.11725733355935934
ENSG00000121903,1.258674645124936
ENSG00000121904,NaN
ENSG00000163866,0.7485092274580687
ENSG00000187513,NaN
ENSG00000116544,-1.530213589085454
ENSG00000243749,-1.246830892138924
ENSG00000163867,-1.4421123077842688
ENSG00000197056,-1.239830057718712
ENSG00000284640,3.393784267573448
ENSG00000116560,-0.4021046004068614
ENSG00000146463,-0.6549199086762478
ENSG00000142687,-0.11307893798297455
ENSG00000020129,-1.5068410314110565
ENSG00000239636,-0.7375331303939713
ENSG00000116819,0.8031219582519208
ENSG00000126067,-1.2101463993678314
