Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000226944,AL031847.1,0.0002572733251685975,-1.3831667598031565,0.7034686951352886,0.0006713503060761729,1.3831667598031565,0.7034686951352886
ENSG00000158286,RNF207,0.0028300065768545723,-2.120132353969362,0.0009312514052084704,0.012755655815447286,2.120132353969362,0.0009312514052084704
ENSG00000116237,ICMT,0.020324592688319203,-1.4875034196178918,0.00003402422456664216,0.0570647760164747,1.4875034196178918,0.00003402422456664216
ENSG00000173673,HES3,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000158292,GPR153,0.0023154599265173773,0.35379883436304915,0.9513028888294611,0.0013427006121523458,-0.35379883436304915,0.9513028888294611
ENSG00000097021,ACOT7,0.019038226062476214,0.8456519306927248,0.35646567370292515,0.010070254591142594,-0.8456519306927248,0.35646567370292515
ENSG00000271746,AL031848.2,0.009519113031238107,0.8647607536404296,0.2822051741951645,0.004699452142533211,-0.8647607536404296,0.2822051741951645
ENSG00000069812,HES2,0.00102909330067439,-0.6462011656369508,0.7129337078982169,0.0013427006121523458,0.6462011656369508,0.7129337078982169
ENSG00000187017,ESPN,0.00102909330067439,0.9387613350842052,0.7999799909678688,0,-0.9387613350842052,0.7999799909678688
ENSG00000215788,TNFRSF25,0.1433012421189088,3.834063956417513,0.0000000000000000004283741139435935,0.009398904285066421,-3.834063956417513,0.0000000000000000004283741139435935
ENSG00000171680,PLEKHG5,0.006431833129214937,2.3172729583379352,0.022088307563840198,0.0006713503060761729,-2.3172729583379352,0.022088307563840198
ENSG00000162408,NOL9,0.09570567696271827,0.33968609803689365,0.4777326946538662,0.07519123428053137,-0.33968609803689365,0.4777326946538662
ENSG00000204859,ZBTB48,0.02778551911820853,-0.6149824350262296,0.15163169526840833,0.04229506928279889,0.6149824350262296,0.15163169526840833
ENSG00000162413,KLHL21,0.016208219485621643,-2.1645264733278156,0.0000000002545519323605997,0.07317718336230285,2.1645264733278156,0.0000000002545519323605997
ENSG00000116273,PHF13,0.01543639951011585,-1.1803498768034695,0.008552026782359657,0.034910215915960996,1.1803498768034695,0.008552026782359657
ENSG00000041988,THAP3,0.024955512541353957,-0.35341941640910424,0.5151045779394713,0.03155346438558013,0.35341941640910424,0.5151045779394713
ENSG00000007923,DNAJC11,0.028042792443377127,-0.8872092651407444,0.021061766146828535,0.051693973567865315,0.8872092651407444,0.021061766146828535
ENSG00000228750,LINC01672,0.0002572733251685975,-1.3831667598031565,0.7034686951352886,0.0006713503060761729,1.3831667598031565,0.7034686951352886
ENSG00000284744,AL591163.1,0.0015436399510115849,-0.16077433846670885,1,0.0013427006121523458,0.16077433846670885,1
ENSG00000237436,CAMTA1-DT,0.0023154599265173773,-0.06123866491579477,1,0.0020140509182285187,0.06123866491579477,1
ENSG00000171735,CAMTA1,0.1435585154440774,-0.5464811338925846,0.11440296924534651,0.20946129549576595,0.5464811338925846,0.11440296924534651
ENSG00000270035,AL359881.2,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000049245,VAMP3,0.06817743116967834,-2.1576070593880257,0.0000000000000008665750285709512,0.3047930389585825,2.1576070593880257,0.0000000000000008665750285709512
ENSG00000269925,Z98884.2,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000049246,PER3,0.021868232639330788,0.18511699977136953,0.8962294448744694,0.018797808570132843,-0.18511699977136953,0.8962294448744694
ENSG00000236266,Z98884.1,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000049247,UTS2,0.003601826552360365,0.9387613350842052,0.48704316663917585,0.0013427006121523458,-0.9387613350842052,0.48704316663917585
ENSG00000049249,TNFRSF9,0.00720365310472073,-0.22562548281667638,0.9567579028522502,0.008056203672914075,0.22562548281667638,0.9567579028522502
ENSG00000116288,PARK7,0.7880281949914142,-0.36229901209064025,0.3004537574808396,1.013067611868945,0.36229901209064025,0.300453757480851
ENSG00000284747,AL034417.4,0.0015436399510115849,0.4241881622544472,0.8966999467747108,0.0006713503060761729,-0.4241881622544472,0.8966999467747108
ENSG00000284716,AL034417.3,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000116285,ERRFI1,0.006431833129214937,2.3172729583379352,0.022088307563840198,0.0006713503060761729,-2.3172729583379352,0.022088307563840198
ENSG00000238290,AL034417.2,0.000514546650337195,-0.7982042590820004,1,0.0006713503060761729,0.7982042590820004,1
ENSG00000162426,SLC45A1,0.0007718199755057924,0.6168332401968435,0.7925869119015966,0,-0.6168332401968435,0.7925869119015966
ENSG00000142599,RERE,0.16774220800992556,-0.3129983483873282,0.40751632332721816,0.20811859488361362,0.3129983483873282,0.40751632332721816
ENSG00000232912,RERE-AS1,0.005917286478877742,-0.49864397722309217,0.6207245048970813,0.008056203672914075,0.49864397722309217,0.6207245048970813
ENSG00000228423,AL357552.2,0.0002572733251685975,-0.3831667598031565,1,0,0.3831667598031565,1
ENSG00000074800,ENO1,0.7769654420091644,-1.307682480315739,0.00000046098563849187934,1.9240899772143116,1.307682480315739,0.0000004609856384918645
ENSG00000230679,ENO1-AS1,0.004888193178203352,0.9387613350842052,0.4741339943683756,0.0020140509182285187,-0.9387613350842052,0.4741339943683756
ENSG00000131686,CA6,0.008490019730563717,2.7042960814471826,0.004425254633151171,0.0006713503060761729,-2.7042960814471826,0.004425254633151171
ENSG00000142583,SLC2A5,0.002572733251685975,-0.24566323605322182,1,0.0026854012243046916,0.24566323605322182,1
ENSG00000180758,GPR157,0.008490019730563717,-0.20259451416133523,0.9768749948354712,0.009398904285066421,0.20259451416133523,0.9768749948354712
ENSG00000228526,MIR34AHG,0,-3.7050948546905182,0.021889555125077124,0.0026854012243046916,3.7050948546905182,0.021889555125077124
ENSG00000234546,LNCTAM34A,0,-2.3831667598031565,0.4755285395162029,0.0006713503060761729,2.3831667598031565,0.4755285395162029
ENSG00000049239,H6PD,0.03601826552360365,-1.6865589032530908,0.00000003282027100518296,0.11614360295117791,1.6865589032530908,0.00000003282027100518296
