Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000132932,ATP8A2,0.007219660478222979,2.7347517209987444,0.0034825909475701667,0.000680245865402474,-2.345533122032821,0.023806808041243424,0,-0.7568649176344868,0.7823263922121955
ENSG00000180730,SHISA2,0.001110716996649689,0.30179231372263793,1,0.000680245865402474,0.08742628524328566,1,0,1.46552750370196,1
ENSG00000127870,RNF6,0.07330732177887948,-0.17974059734311254,0.7206459885597372,0.0993158963487612,0.553744289465822,0.12416110824459826,0.00327742057332751,-3.632504579258565,0.001250005536262134
ENSG00000277368,AL138966.2,0.00610894348157329,0.5034261748922892,0.6831812318372945,0.004761721057817318,-0.11420757592636566,1,0,-0.8564005911854018,0.7855535322288331
ENSG00000132964,CDK8,0.02554649092294285,0.2710955164997211,0.7013626457951624,0.025169097019891538,0.11812308246620074,0.9722066251885991,0,-2.9718778086053375,0.033984068548876555
ENSG00000132970,WASF3,0.0008330377474872668,-3.020135781164724,0.0056537060393679105,0.001360491730804948,-1.0931459603985356,0.6802799647075337,0.04260646745325763,5.272882425759565,0.00006404922596834542
ENSG00000237001,WASF3-AS1,0.00027767924916242227,-2.3420638760520873,0.21313342110998598,0,-1.1756081205905087,0.9082509147502961,0.01310968229331004,5.37241809931048,0.011411317903169436
ENSG00000285935,AL159978.1,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000132975,GPR12,0.00027767924916242227,-1.0201357811647238,0.7386710754724222,0,-0.17560812059050868,1,0.00327742057332751,4.050490004423119,0.2226737107282036
ENSG00000152484,USP12,0.13606283208958692,-0.30455824104813667,0.4451069826059198,0.16666023702360613,0.2644060442195477,0.540059582788041,0.17370329038635804,0.28181555052957297,0.7891854155833496
ENSG00000230641,USP12-AS2,0.0008330377474872668,-0.02013578116472381,0.8588178686574934,0,-0.9125737147567143,1,0.00327742057332751,3.0504900044231187,0.3157058767008126
ENSG00000275294,LINC02340,0.00027767924916242227,-0.02013578116472381,1,0,0.4093543801306474,1,0,3.050490004423118,1
ENSG00000234772,LINC00412,0.00027767924916242227,-1.0201357811647238,0.7242544807021117,0,-0.17560812059050868,1,0.00327742057332751,4.050490004423119,0.2177413415387503
ENSG00000122026,RPL21,24.769544383786393,1.4261665429879384,0.00000023994810517575895,10.841078356919228,-1.0821889061119854,0.00032801983919647775,1.406013425957502,-3.8832692604466605,0.0000048239002884971235
ENSG00000122035,RASL11A,0.0016660754949745335,-1.0201357811647247,0.43625164377533887,0.004081475192414844,1.4093543801306465,0.24598274203314616,0,0.35005028628202517,1
ENSG00000122034,GTF3A,1.011307825449542,1.1103357804369656,0.00010671257732683371,0.5571213637646262,-0.7468212112037065,0.02249465078671144,0.03932904687993012,-4.372545075679931,0.000001967427204219666
ENSG00000122033,MTIF3,0.149946794547708,-0.06993401428287571,0.9509823276221875,0.1857071212548754,0.4119894402986173,0.24717685071813209,0.01966452343996506,-2.8110400577855255,0.0023775061620449067
