Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000197530,MIB2,0.17718401122355557,1.7267134659404633,0.00000045325408286045153,0.060148443273463345,-1.448942351864165,0.00011013904583240169,0.018026494985762035,-2.712807392332472,0.00893874371536466
ENSG00000189409,MMP23B,0.0483229121518788,2.160520769239147,0.000014345313317652187,0.012217652539922241,-1.785945767213625,0.0009652189668960628,0,-3.127247626009373,0.035116854157194954
ENSG00000248333,CDK11B,0.09796073347795838,0.4905709035362311,0.262830763479971,0.08176429007486423,-0.15803538176468468,0.9093833170292407,0.009013247492881018,-2.803825284441679,0.014687493203273104
ENSG00000272004,FO704657.1,0.002629818348401567,0.3433848263889576,0.9562259809357482,0.0018796388522957295,0.031190175636563566,1,0,0.7442376334679475,1
ENSG00000189339,SLC35E2B,0.07593600481009524,0.8884828662321742,0.027451127630577728,0.048870610159688965,-0.5139078642066521,0.32283612369933135,0,-3.9460778673994374,0.00377789512923388
ENSG00000008128,CDK11A,0.223205832320583,0.8824110429432546,0.009086606321579156,0.14473219162677117,-0.519233906380113,0.22284584476018282,0.004506623746440509,-4.50023432133942,0.0001473802244077072
ENSG00000215790,SLC35E2A,0.04733673027122821,1.353368914961579,0.0028553908401488513,0.01973620794910516,-1.1240880498413475,0.024633274605665022,0.009013247492881018,-1.5864076785205237,0.2694598102658626
ENSG00000008130,NADK,0.044706911922826637,-3.0353292945899826,0.000000000000000000000000004437033224103206,0.4426549497156443,3.369512708774595,0.000000000000000000000000000000022940061144936301,0.013519871239321525,-3.044258261338341,0.005998476326062748
ENSG00000078369,GNB1,0.3744203873536731,-1.206997442622054,0.000004878115654069223,1.028162452205764,1.5354482928570194,0.000000009033726650250854,0.08111922743592916,-2.6738167049344845,0.0032697277906214984
ENSG00000231050,AL109917.1,0.002629818348401567,1.9283473271101137,0.262830763479971,0,-1.5537723250845925,0.4354305584737846,0,1.0337442506629317,1
ENSG00000169885,CALML6,0,-2.2415776743321985,0.5014878008975067,0.0009398194261478648,2.6161526763577196,0.44693679742587256,0,3.203669252105244,1
ENSG00000178821,TMEM52,0.0009861818806505876,-0.24157767433219846,1,0.0009398194261478648,0.6161526763577196,1,0,1.8817411572178822,1
ENSG00000142609,CFAP74,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000187730,GABRD,0.0016436364677509794,-0.24157767433219846,1,0.0018796388522957295,0.6161526763577196,0.9162996662290842,0,1.203669252105244,1
ENSG00000067606,PRKCZ,0.024983274309814885,1.4402463656415456,0.010380931916040347,0.010338013687626513,-1.0656713636160244,0.09301767030761827,0,-2.2557623665320525,0.15703326599333067
ENSG00000271806,AL590822.2,0.004930909403252938,-0.048932596389803074,1,0.005638916556887188,0.42350759841532426,0.8680459035236973,0,-0.25576236653205253,1
ENSG00000182873,PRKCZ-AS1,0.002301091054851371,0.7584223256678015,0.7219392361617819,0.0009398194261478648,-0.38384732364228036,0.9460541135279925,0,1.0337442506629317,1
ENSG00000162585,FAAP20,0.2636392894272571,-0.055845870086064675,0.9756833517211696,0.3214182437425697,0.37110590045550484,0.3200950090664018,0.045066237464405086,-2.4980310122417646,0.00794630009817672
ENSG00000157933,SKI,0.09072873301985407,0.27225164952986214,0.6157099730074227,0.08834302605789929,0.061886972859480416,1,0.009013247492881018,-2.746643623794402,0.016255226954753538
ENSG00000287356,AL590822.3,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000116151,MORN1,0.00953309151295568,1.6653129212763202,0.056754126917629266,0.002819458278443594,-1.2907379192507982,0.20560799061792104,0,-0.8407248672532095,0.817327277274108
ENSG00000272420,AL513477.2,0.002629818348401567,-0.8790075949474909,0.6121789341391767,0.005638916556887188,1.253582596973012,0.2978714320088994,0,0.2967786564967261,1
ENSG00000157916,RER1,0.238327287823892,-0.17238016397317257,0.70306953644618,0.319538604890274,0.5160530094294555,0.12944073170552803,0.022533118732202543,-3.2693599699327747,0.001272186944369703
ENSG00000157911,PEX10,0.021696001374312927,0.30094956006856055,0.7250950942616552,0.020676027375253026,0.07362544195696064,1,0,-2.2720641788611537,0.15951341777729616
ENSG00000149527,PLCH2,0.01676509197105999,4.458862043808893,0.000003033267450632147,0,-4.084287041783372,0.00004321459357099796,0,-1.4967704660358478,0.4856237109674934
ENSG00000224387,AL139246.1,0,-2.2415776743321985,0.5014878008975067,0.0009398194261478648,2.6161526763577196,0.44693679742587256,0,3.203669252105244,1
ENSG00000157881,PANK4,0.01775127385171058,-0.10407415058226377,1,0.022555666227548753,0.47864915260778584,0.48910943390632516,0,-2.1001114960718583,0.1871585425579153
ENSG00000272449,AL139246.5,0.11899928026517091,0.33151072610066556,0.49613006522795283,0.11089869228544805,-0.004729398618378511,1,0.013519871239321525,-2.7062238316647975,0.012211302358528775
ENSG00000238164,TNFRSF14-AS1,0.03353018394211998,1.35746001160068,0.006921014991757575,0.015037110818365836,-0.9828850095751589,0.0911460483671039,0,-2.691148511202699,0.08169353223280675
ENSG00000157873,TNFRSF14,0.4441105735863146,0.2705585130517265,0.5368685738609992,0.44171513028949644,0.09165878972926955,0.9012781743467828,0.013519871239321525,-4.6276379916968065,0.000020131710840998332
ENSG00000228037,AL139246.3,0.00953309151295568,0.8579579992187156,0.35065153925595527,0.005638916556887188,-0.48338299719319355,0.7197954131574152,0,-0.9662557493370683,0.8274945370101358
ENSG00000157870,PRXL2B,0.024983274309814885,0.21785394430509797,0.8285192879752281,0.024435305079844483,0.08563795965894094,1,0.004506623746440509,-1.4828312750779737,0.4367902613416015
ENSG00000142606,MMEL1,0.006574545871003918,-0.30869187019073596,0.9087282377743466,0.009398194261478648,0.6832668722162571,0.5603412906467498,0,-0.750527058281631,0.8147939199891893
ENSG00000215912,TTC34,0.008218182338754897,0.6515071217512887,0.5014878008975067,0.005638916556887188,-0.2769321197257675,0.930002543479169,0,-0.7963307478947552,0.8150868388086593
ENSG00000162591,MEGF6,0.029256729125967433,1.3433848263889576,0.010071463177078263,0.012217652539922241,-1.0842870417833712,0.06915476995246067,0.004506623746440509,-1.4828312750779737,0.40678980117376784
ENSG00000238260,AL513320.1,0.0013149091742007835,0.08035042055516328,1,0.0009398194261478648,0.2942245814703579,1,0,1.6187067513840878,1
ENSG00000158109,TPRG1L,0.0877701873779023,0.2546559077946262,0.6724574087745816,0.0827041095010121,-0.006145975636408618,1,0.02703974247864305,-1.4647092568035487,0.23408203904033908
ENSG00000116213,WRAP73,0.0719912772874929,0.016220083135447982,1,0.08552356777945569,0.3583549188900732,0.44693679742587256,0,-4.0771015180253585,0.0025055006063621466
ENSG00000078900,TP73,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000227589,AL136528.1,0,-2.2415776743321985,0.5014878008975067,0.0009398194261478648,2.6161526763577196,0.44693679742587256,0,3.203669252105244,1
ENSG00000235169,SMIM1,0.015778910090409402,0.05120407489564727,1,0.005638916556887188,-1.5306887119715507,0.07091569778067595,0.05858610870372661,2.2296644606381895,0.015699370592088126
ENSG00000130764,LRRC47,0.06870400435199094,-0.3976968762494808,0.3324733404913973,0.10807923400700445,0.7530344827781073,0.0368715197186767,0.004506623746440509,-3.1406266558105727,0.00859013120819039
ENSG00000272153,AL365330.1,0.0009861818806505876,0.7584223256678015,0.7672047109436537,0,-0.38384732364228036,1,0,2.203669252105244,1
ENSG00000116198,CEP104,0.07790836857139642,-0.033260438207473264,1,0.09304212318863861,0.3471195299024834,0.4556077542184817,0.013519871239321525,-2.192935529076614,0.05255554429431762
ENSG00000169598,DFFB,0.024983274309814885,0.6328914435839419,0.3105854115164979,0.018796388522957296,-0.2583164415584207,0.8156963393707067,0,-2.396243590081883,0.13378811732045212
ENSG00000198912,C1orf174,0.07527855022299486,-0.6628741640827247,0.08081087688123588,0.13533399736529253,0.8951949583919059,0.0167346833221933,0.04055961371796458,-1.0212971128950294,0.5828376843656587
ENSG00000236423,LINC01134,0.0003287272935501959,-1.8265401750533545,0.403063774822179,0.0018796388522957295,2.2011151770788757,0.3260236425342057,0,2.203669252105244,1
ENSG00000284703,AL805961.1,0.0006574545871003918,0.3433848263889576,1,0,0.031190175636563566,1,0,2.618706751384088,1
ENSG00000196581,AJAP1,0.002958545641951763,1.0803504205551633,0.523402864172129,0.0009398194261478648,-0.7057754185296421,0.7278466092979601,0,0.7442376334679475,1
ENSG00000287586,Z98886.1,0.0006574545871003918,-0.6566151736110424,1,0.0009398194261478648,1.0311901756365636,0.8135306114347629,0,2.203669252105244,1
ENSG00000131697,NPHP4,0.006245818577453721,-1.2415776743321985,0.07419464786353393,0.01785656909680943,1.6161526763577205,0.013573765617697736,0,-1.081732966757004,0.857783895143284
